status,PC1,PC2,PC3,PC4,PC5
No,-1.3618973254424023,-0.25446011332244894,1.7387166771609524,1.0919169618205142,-0.19756271746852527
No,-1.6109814829111493,-0.03976299354215037,-1.365977277282658,1.2910343053847702,-0.4138419884315961
No,1.3958570404583495,-0.02957692545640498,-1.5935822712892604,-0.22323168520386105,-0.6238201421280962
No,-2.0954950310920313,-0.6096851566053165,-0.15114611792155927,-0.7192071936761925,-0.009485930877001763
No,1.5251375758716106,1.0449263908184123,1.505385684333443,-0.7667077366578017,0.08331948724381558
No,-1.2552506365331544,-0.5362164259652936,-0.02833303148710666,-0.6189891662988052,0.04201247809389744
No,1.512105197463327,1.1949347904814287,-1.2413021530934074,1.9753607660585804,-0.15407788513522427
No,0.1358270263744543,-0.6726410143813584,-0.08358719042148806,-0.38012569758424875,-0.355296302757989
No,-0.029919077325911786,0.04551591525011935,-1.58620051087203,0.35495370682401295,-0.04087310458845801
No,-0.1626055570175873,1.2892424018543946,-1.5785552255366846,0.053577448065038516,0.3149589391620952
No,1.099639911099438,1.212964418240185,-1.577458151269483,-0.4955842794953337,-0.359344656122473
No,1.249388748609843,1.0823103255416044,1.5500640829040786,0.15993309889562246,0.6863075552388783
No,0.2973395892692474,-0.42778315080306906,1.8651699266437047,1.6859710221306934,-1.0769055176806785
No,-2.2495472753142667,0.7555173296155518,0.07307117590869817,0.5933182527855025,1.0617166269467553
No,-0.24947929816610878,0.35986681856496777,-0.14267854318954507,-2.606033190192359,-1.6864463035925437
No,-0.07306129130751707,-0.2686938891318191,1.5533278468246874,0.2405769104844081,-0.22896502397217028
No,-0.2308717576167676,-0.8681661183133511,-1.2451030273188541,2.7860182509354847,-2.061018077292135
No,-2.227783856506756,1.4139955277721568,-1.6992800930133933,-0.6253728369470106,0.9674696643604702
No,0.04741969398566667,-0.028048575557736745,-1.5830263253629109,0.09723045227196427,-0.4333955623019091
No,-0.3052402587425248,1.234553989581186,-1.3122035897722493,1.680263142693936,0.32402673349560007
No,-1.4332176632492093,0.8596673561732444,1.837232502211619,1.2049249678737408,-0.5683660648580962
No,-0.5851306574504279,-0.7042139544712629,-0.18942218153991616,-1.7668186107771215,-0.7857097233153804
No,0.7822160475805732,-0.7727680585100641,-0.04727764692906602,-0.4373295439396807,-0.9070101495946274
No,1.6863916477314715,-0.8142269050382724,1.421366264419254,-0.3667727860724188,-1.1002484499419103
No,1.0305669853473505,-0.8623848975724797,1.4098195676164986,-0.36546623827640845,-0.9856506702679902
No,0.4253807029924531,-0.1230650427451214,1.5033998863880735,0.10050992479443045,0.3313228323035555
No,-1.6996592958873353,0.09929862718799667,-1.4280794378434087,1.0129306191467,0.09101262564724008
No,-2.2392032128228485,0.03400140998424198,-1.4206080692768273,1.0113220280882547,-0.058993156836906424
No,0.2686753916363649,-0.05923317026002476,-1.6762210277944567,-1.3258170397545437,-1.025642810641917
No,-0.8273970575709078,0.3882090983786834,1.5176002830171387,0.6546801442259511,-0.376767625390316
No,-0.46051362169415755,-0.21344658850684717,-1.5564806615302993,-0.4825371641321844,-1.637438196437625
No,-1.927409908258659,0.727561024276595,0.07971186559235856,0.5548488423181646,0.9362394004038612
No,-2.209579994565299,-0.6503016571523543,0.11955897134182679,0.8388617982557472,-0.1505712534369774
No,-0.9450998596104713,-0.7273547873418192,0.042898358112086636,-0.5008923808546473,-0.7957767042249906
No,-0.9472220792109364,0.0018571371031688502,-1.3664397401553339,1.2814872476110009,-0.37092311701487907
No,1.5705272107313395,1.08021973145535,1.5315038556477536,-0.38806902648776515,0.23195462949106702
No,-0.9926560652517048,0.6488288313249176,0.17808631843293898,1.26470735391077,0.565957972690518
No,0.26990818686557794,-0.22169322939751512,1.5075057312855051,-0.27296845952180904,-0.24815425169884792
No,1.8892410375706432,-0.6252368450486647,0.031131958023829034,1.0975822402030282,0.14487644911840467
No,1.5407495292343092,-0.31787419316171783,1.5851290768191537,0.2300734087450106,-0.5836678723185355
No,-0.7433175162111294,1.2785255557581903,-1.3330729046378236,1.6033906363637096,0.4877676472190278
No,-0.6166680708854808,0.7103803199628472,0.11581336894030793,0.7287400788767519,0.7512406275674663
No,-1.217840020447342,1.1195117765656026,1.581032417891223,-0.7865637691824936,0.3904727578590576
No,-0.44268381741503504,1.1187692940944225,1.3703447511661575,-1.854507454591658,0.38918074388491913
No,0.9493891468701582,0.040772698381879816,-1.6197442433254206,-0.2837270827211497,-0.3618952315454992
No,1.9519968317133096,1.2776155589470934,-1.4717248310884803,1.0256115161794561,0.2653622233115478
No,-1.90951845790167,0.7130584965555573,0.07741523230573134,0.3857527373751227,0.7410369595319661
No,-0.10626865313635928,1.2678856965071075,-1.5661225894387212,0.12979637090515594,0.24474518063150213
No,-2.144193283608227,-0.19285009740682157,-1.334414380010613,0.902872345006255,-1.4295018862241573
